state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
,30842.84,181,30842.84,181,0,0
AA,159.35,10,159.35,10,0,0
AE,3157.8,49,3157.8,49,0,0
AK,184605.86,2480,182623.56,2478,1982.3,2
AL,2247380.51,16253,1582767.14,15793,664613.37,460
AP,1242.95,32,1242.95,32,0,0
AR,2128384.64,21863,1702430.15,21783,425954.49,80
AZ,11756926.43,66070,10883119.44,65121,873806.99,949
CA,182134464.23,232809,46318507.14,230065,135815957.09,2744
CO,11763595.18,14339,5261996.9,13051,6501598.28,1288
CT,6644632.87,38628,6281807.56,38377,362825.31,251
DC,4382144.36,8655,3040452.91,8061,1341691.45,594
DE,1252926.22,6119,1203252.75,6038,49673.47,81
FL,36341111.51,210910,33438449.96,209261,2902661.55,1649
GA,13590744.91,86242,12412680.85,85655,1178064.06,587
GU,412.06,17,412.06,17,0,0
HI,566422.01,7625,520641.42,7479,45780.59,146
IA,1947111.27,10812,1646411.6,10482,300699.67,330
ID,603795.53,5297,603071.26,5293,724.27,4
IL,18235850.7,99025,16324145.38,97994,1911705.32,1031
IN,9045966.87,53109,8954127.79,52959,91839.08,150
KS,2015083.11,21483,1857907.41,21413,157175.7,70
KY,6689014.4,56921,6444023.91,56578,244990.49,343
LA,1901146.5,15777,1620856.59,15443,280289.91,334
MA,41463199.48,57981,25162773.24,56969,16300426.24,1012
MD,10172857.72,46118,9608810.41,45631,564047.31,487
ME,809676.33,4062,775456.62,4052,34219.71,10
MI,18682571.33,117412,17005618.46,116458,1676952.87,954
MN,10333841.58,15422,9640859.1,15260,692982.48,162
MO,17658743.61,66076,13048272.09,65521,4610471.52,555
MS,2850796.16,31158,2739622.57,30951,111173.59,207
MT,314870.18,1846,249803.19,1795,65066.99,51
NC,19044737.98,87663,15489461.76,87137,3555276.22,526
ND,395137.04,4160,386023.87,4135,9113.17,25
NE,3503727.46,17573,2122958.52,17528,1380768.94,45
NH,1640510.42,7403,1544513.59,7374,95996.83,29
NJ,13332885.62,110755,12958079.29,110397,374806.33,358
NM,433600.91,4942,419465.46,4924,14135.45,18
NV,4516154.6,21802,4471380.18,21762,44774.42,40
NY,58281862.86,257097,50226075.36,253828,8055787.5,3269
OH,25719439.87,128006,17958553.96,126236,7760885.91,1770
OK,4194365.74,39413,4042511.64,39347,151854.1,66
ON,2174.0,1,2174.0,1,0,0
OR,3963051.44,19534,3469103.89,19384,493947.55,150
PA,32700990.09,184700,25812716.2,183312,6888273.89,1388
PR,916371.85,6708,883533.4,6695,32838.45,13
RI,1499962.33,10825,1312142.86,10755,187819.47,70
SC,5800937.77,51794,5560234.17,51684,240703.6,110
SD,923495.68,5013,893242.21,4972,30253.47,41
TN,10193663.6,64867,9268081.24,64633,925582.36,234
TX,56084045.85,268306,51017798.12,264275,5066247.73,4031
UT,5335928.43,10283,4469418.52,10175,866509.91,108
VA,11376559.52,72571,10431834.73,72278,944724.79,293
VI,1688.0,33,1688.0,33,0,0
VT,400632.62,412,350632.62,411,50000.0,1
WA,10498336.96,42183,9171823.05,41709,1326513.91,474
WI,2741659.03,8646,2491978.34,8410,249680.69,236
WV,2034653.3,25409,1965483.98,25291,69169.32,118
WY,182058.02,1453,178802.29,1446,3255.73,7
