state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
AK,1864.04,42,1864.04,42,0,0
AL,362977.33,334,6328.33,320,356649.0,14
AR,42072.4,1165,41072.4,1163,1000.0,2
AZ,307049.99,2751,280908.74,2744,26141.25,7
CA,3416849.36,2546,467641.32,2486,2949208.04,60
CO,66840.85,18,8640.85,14,58200.0,4
CT,235597.33,963,201862.33,951,33735.0,12
DC,83007.81,226,59145.31,217,23862.5,9
DE,6638.73,349,6638.73,349,0,0
FL,995532.34,8160,666647.34,8152,328885.0,8
GA,312199.45,5960,298699.45,5955,13500.0,5
HI,11403.97,298,11403.97,298,0,0
IA,4370.39,38,720.39,29,3650.0,9
ID,4418.29,243,4418.29,243,0,0
IL,440359.36,5496,412859.16,5487,27500.2,9
IN,116542.95,2416,111742.95,2411,4800.0,5
KS,55410.82,992,54410.82,991,1000.0,1
KY,141972.71,2913,88772.71,2906,53200.0,7
LA,47661.0,466,19161.0,463,28500.0,3
MA,2326569.67,2609,731582.02,2567,1594987.65,42
MD,117527.54,1569,116527.54,1568,1000.0,1
ME,5121.45,117,5121.45,117,0,0
MI,688175.83,4818,514366.83,4781,173809.0,37
MN,594974.1,126,73879.6,113,521094.5,13
MO,989752.11,3636,207838.11,3586,781914.0,50
MS,63374.46,1859,63374.46,1859,0,0
MT,31.76,3,31.76,3,0,0
NC,2095910.89,4794,436593.27,4769,1659317.62,25
ND,4511.28,123,4511.28,123,0,0
NE,71975.4,500,41274.32,496,30701.08,4
NH,18272.81,228,18272.81,228,0,0
NJ,235834.27,3568,225934.27,3560,9900.0,8
NM,4320.18,269,4320.18,269,0,0
NV,59981.12,702,59981.12,702,0,0
NY,1763673.94,9757,932857.62,9728,830816.32,29
OH,1162745.34,5341,281223.34,5323,881522.0,18
OK,109384.99,2218,109384.99,2218,0,0
OR,55327.23,764,34377.23,758,20950.0,6
PA,1557217.35,7061,1013249.35,7034,543968.0,27
PR,1981.05,15,1981.05,15,0,0
RI,13837.43,480,12837.43,478,1000.0,2
SC,248029.46,4023,248029.46,4023,0,0
SD,7802.2,61,6280.2,58,1522.0,3
TN,166394.18,3272,161144.18,3266,5250.0,6
TX,1283045.21,12427,1154758.21,12408,128287.0,19
UT,21266.35,423,21266.35,423,0,0
VA,316493.77,3386,210593.77,3383,105900.0,3
VT,1890.01,5,1890.01,5,0,0
WA,498047.01,1301,144247.01,1291,353800.0,10
WI,27093.94,101,1596.44,75,25497.5,26
WV,43550.56,1118,43100.56,1116,450.0,2
WY,492.9,23,492.9,23,0,0
