state,dollars,payments,physican_dollars,physican_payments,hospital_dollars,hospital_payments
,282.73,20,282.73,20,0,0
AK,5099.21,220,4699.21,219,400.0,1
AL,29130.48,407,27930.48,403,1200.0,4
AP,12.41,1,12.41,1,0,0
AR,36574.05,1147,28096.05,1145,8478.0,2
AZ,354367.52,4044,349367.52,4042,5000.0,2
CA,1849369.0,18669,1810869.0,18658,38500.0,11
CO,13335.09,31,585.09,27,12750.0,4
CT,323780.16,3186,318780.16,3183,5000.0,3
DC,182061.41,389,95561.41,385,86500.0,4
DE,28582.42,438,28582.42,438,0,0
FL,988692.38,11746,982292.38,11742,6400.0,4
GA,385593.11,4866,379093.11,4862,6500.0,4
HI,31042.41,429,31042.41,429,0,0
IA,12571.62,392,9586.62,384,2985.0,8
ID,19838.05,301,19838.05,301,0,0
IL,665019.82,8036,653769.82,8030,11250.0,6
IN,148705.06,3366,148205.06,3365,500.0,1
KS,41376.67,1300,39376.67,1297,2000.0,3
KY,378670.62,3975,378270.62,3974,400.0,1
LA,54128.92,445,51128.92,443,3000.0,2
MA,267089.81,3003,265589.81,3002,1500.0,1
MD,324064.33,2404,324064.33,2404,0,0
ME,5818.9,124,5818.9,124,0,0
MI,597337.78,6410,574902.78,6390,22435.0,20
MN,95953.83,188,85503.83,176,10450.0,12
MO,452225.11,4756,447975.11,4753,4250.0,3
MS,135760.56,2133,135010.56,2132,750.0,1
MT,205.19,5,205.19,5,0,0
NC,405015.96,5713,396015.96,5709,9000.0,4
ND,23066.49,336,23066.49,336,0,0
NE,157578.5,1367,157578.5,1367,0,0
NH,12447.31,255,12447.31,255,0,0
NJ,440178.25,6594,433428.25,6590,6750.0,4
NM,20260.54,324,20260.54,324,0,0
NV,112384.36,1750,112384.36,1750,0,0
NY,1818592.84,18011,1739292.84,17994,79300.0,17
OH,599556.53,7264,586766.53,7242,12790.0,22
OK,102507.52,2856,102507.52,2856,0,0
OR,124555.02,842,124205.02,841,350.0,1
PA,915612.13,10370,904012.13,10363,11600.0,7
PR,51990.67,771,51990.67,771,0,0
RI,37841.56,515,37341.56,514,500.0,1
SC,228678.27,3529,225678.27,3525,3000.0,4
SD,8589.03,142,7589.03,141,1000.0,1
TN,259513.52,3243,259513.52,3243,0,0
TX,1511301.32,18926,1500301.32,18918,11000.0,8
UT,40303.55,524,40303.55,524,0,0
VA,330352.63,4791,318702.63,4788,11650.0,3
VT,31.49,2,31.49,2,0,0
WA,323190.74,1801,311051.71,1789,12139.03,12
WI,2124.96,107,2124.96,107,0,0
WV,146780.38,1802,146580.38,1801,200.0,1
WY,1313.11,83,1313.11,83,0,0
